theorem_id,candidate_idx,num_hyps,proof_effort,was_picked,theorem_ok
prop_29,0,2,7,0,1
prop_29,1,2,3,0,1
prop_29,2,2,5,0,1
prop_29,3,2,3,0,1
prop_29,4,2,5,0,1
prop_29,5,2,5,0,1
prop_29,6,3,6,0,1
prop_29,7,2,7,0,1
prop_29,8,3,3,0,1
prop_29,9,2,5,0,1
prop_29,10,2,7,0,1
prop_29,11,2,5,0,1
prop_29,12,1,1,0,1
prop_29,13,2,5,0,1
prop_29,14,1,1,0,1
prop_29,15,3,6,0,1
prop_29,16,3,3,0,1
prop_29,17,3,4,0,1
prop_29,18,0,0,1,1
prop_29,19,2,2,0,1
prop_58,0,3,4,0,0
prop_58,1,3,3,0,0
prop_58,2,2,2,0,0
prop_58,3,3,3,0,0
prop_58,4,3,3,0,0
prop_58,5,2,4,0,0
prop_58,6,1,1,1,0
prop_58,7,3,3,0,0
prop_58,8,2,2,0,0
prop_58,9,3,4,0,0
prop_58,10,2,2,0,0
prop_58,11,0,0,0,0
prop_58,12,2,2,0,0
prop_58,13,3,3,0,0
prop_58,14,2,4,0,0
prop_58,15,3,3,0,0
prop_58,16,3,3,0,0
prop_58,17,2,5,0,0
prop_58,18,2,2,0,0
prop_58,19,2,4,0,0
prop_77,0,7,17,0,0
prop_77,1,3,3,0,0
prop_77,2,4,31,0,0
prop_77,3,7,8,0,0
prop_77,4,7,20,0,0
prop_77,5,6,12,0,0
prop_77,6,7,18,0,0
prop_77,7,6,11,0,0
prop_77,8,8,19,0,0
prop_77,9,4,21,0,0
prop_77,10,6,14,0,0
prop_77,11,7,22,0,0
prop_77,12,7,23,0,0
prop_77,13,6,15,0,0
prop_77,14,2,24,1,0
prop_77,15,2,6,0,0
prop_77,16,4,16,0,0
prop_77,17,4,26,0,0
prop_77,18,5,18,0,0
prop_77,19,2,9,0,0
prop_78,0,6,12,0,0
prop_78,1,2,2,0,0
prop_78,2,6,16,0,0
prop_78,3,8,10,0,0
prop_78,4,8,14,0,0
prop_78,5,7,13,0,0
prop_78,6,6,18,0,0
prop_78,7,6,17,0,0
prop_78,8,2,8,0,0
prop_78,9,4,19,0,0
prop_78,10,6,8,0,0
prop_78,11,5,9,0,0
prop_78,12,4,21,0,0
prop_78,13,5,7,0,0
prop_78,14,4,15,0,0
prop_78,15,4,28,0,0
prop_78,16,4,11,0,0
prop_78,17,2,9,1,0
prop_78,18,4,5,0,0
prop_78,19,4,6,1,0
prop_85,0,2,8,0,0
prop_85,1,4,8,0,0
prop_85,2,5,9,0,0
prop_85,3,4,7,0,0
prop_85,4,3,4,0,0
prop_85,5,2,9,1,0
prop_85,6,2,3,0,0
prop_85,7,0,0,0,0
prop_85,8,2,9,0,0
prop_85,9,4,5,0,0
prop_85,10,5,7,0,0
prop_85,11,6,8,0,0
prop_85,12,5,6,0,0
prop_85,13,4,6,0,0
prop_85,14,2,10,0,0
prop_85,15,2,11,0,0
prop_85,16,5,7,0,0
prop_85,17,2,10,0,0
prop_85,18,4,6,0,0
prop_85,19,2,13,0,0
prop_53,0,2,2,0,1
prop_53,1,2,3,0,1
prop_53,2,0,0,1,1
prop_53,3,1,1,0,1
prop_53,4,2,2,0,1
prop_53,5,1,1,0,1
prop_55,0,4,4,0,0
prop_55,1,2,3,0,0
prop_55,2,0,0,0,0
prop_55,3,2,6,0,0
prop_55,4,3,3,0,0
prop_55,5,1,1,0,0
prop_55,6,2,2,0,0
prop_55,7,2,5,0,0
prop_55,8,2,3,0,0
prop_55,9,2,4,0,0
prop_55,10,2,5,0,0
prop_55,11,3,8,0,0
prop_55,12,2,5,0,0
prop_55,13,4,4,0,0
prop_55,14,2,2,0,0
prop_55,15,3,6,0,0
prop_55,16,3,3,0,0
prop_55,17,2,3,0,0
prop_55,18,2,5,0,0
prop_55,19,2,4,0,0
prop_57,0,4,7,0,0
prop_57,1,1,1,0,0
prop_57,2,4,10,0,0
prop_57,3,4,8,0,0
prop_57,4,4,7,0,0
prop_57,5,4,8,0,0
prop_57,6,4,8,0,0
prop_57,7,0,0,0,0
prop_57,8,4,7,0,0
prop_57,9,4,9,0,0
prop_57,10,3,6,0,0
prop_57,11,4,6,0,0
prop_57,12,4,6,0,0
prop_57,13,4,8,0,0
prop_57,14,3,5,0,0
prop_57,15,2,2,0,0
prop_57,16,4,7,1,0
prop_57,17,3,5,0,0
prop_57,18,3,5,0,0
prop_57,19,3,3,0,0
